"Combo_ID","Model_ID","Model_Name","Model_Type","Recipe_ID","Forecast","Train_Test_ID","Target","Combo","Date","Hyperparameter_ID","Horizon","Best_Model","q_val_80","q_val_95","z_val_80","z_val_95","coverage_conf_80","coverage_conf_95","coverage_z_80","coverage_z_95","lo_80","hi_80","lo_95","hi_95","method_80","method_95","coverage_80","coverage_95"
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2015-07-01,1,1,"Yes",600.13315941092,768.14673485902,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1428.77364320054,2629.03996202238,1260.76006775244,2797.05353747048,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2015-08-01,1,2,"Yes",614.37208504008,818.8606806756,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1414.53471757138,2643.27888765154,1210.04612193586,2847.76748328706,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2015-09-01,1,3,"Yes",626.710469609164,878.99397316295,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1402.1963330023,2655.61727222062,1149.91282944851,2907.90077577441,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2015-10-01,1,4,"Yes",648.62091801679,893.56112228942,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1380.28588459467,2677.52772062825,1135.34568032204,2922.46792490088,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2015-11-01,1,5,"Yes",664.83354020351,949.17302139466,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1364.07326240795,2693.74034281497,1079.7337812168,2978.07982400612,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2015-12-01,1,6,"Yes",704.83354020351,1002.28861741257,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1324.07326240795,2733.74034281497,1026.61818519889,3031.19542002403,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2016-01-01,1,7,"Yes",715.1973919371,1014.83354020351,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1313.70941067436,2744.10419454856,1014.07326240795,3043.74034281497,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2016-02-01,1,8,"Yes",715.1973919371,1037.20857195512,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1313.70941067436,2744.10419454856,991.69823065634,3066.11537456658,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2016-03-01,1,9,"Yes",726.36666603151,1053.94694356126,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1302.54013657995,2755.27346864297,974.959859050202,3082.85374617272,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2016-04-01,1,10,"Yes",741.89057930591,1080.53983064176,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1287.01622330555,2770.79738191737,948.366971969703,3109.44663325322,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2016-05-01,1,11,"Yes",749.17302139466,1080.63315941092,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1279.7337812168,2778.07982400612,948.273643200541,3109.53996202238,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2028.90680261146,1,NA,"M2",2016-06-01,1,12,"Yes",802.28861741257,1118.46106279954,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1226.61818519889,2831.19542002403,910.445739811922,3147.367865411,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2056.01596205777,2,2440.00000000001,"M2",2015-06-01,1,1,"Yes",600.13315941092,768.14673485902,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1455.88280264685,2656.14912146869,1287.86922719875,2824.16269691679,"Conformal","Conformal",0.826923076923077,1
"M2","meanf--local--R1","meanf","local","R1",2064.36189258921,3,1730.00000000001,"M2",2015-05-01,1,1,"Yes",600.13315941092,768.14673485902,414.467347918752,633.873108604395,0.826923076923077,1,0.384615384615385,0.673076923076923,1464.22873317829,2664.49505200013,1296.21515773019,2832.50862744823,"Conformal","Conformal",0.826923076923077,1
