"Combo_ID","Model_ID","Model_Name","Model_Type","Recipe_ID","Forecast","Train_Test_ID","Target","Combo","Date","Hyperparameter_ID","Horizon","Best_Model","q_val_80","q_val_95","z_val_80","z_val_95","coverage_conf_80","coverage_conf_95","coverage_z_80","coverage_z_95","lo_80","hi_80","lo_95","hi_95","method_80","method_95","coverage_80","coverage_95"
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2015-07-01,1,1,"Yes",577.308486846269,744.497751808785,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,644.212070045481,1798.82904373802,477.022805082965,1966.01830870053,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2015-08-01,1,2,"Yes",586.28067823683,787.328561224477,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,635.23987865492,1807.80123512858,434.191995667273,2008.84911811623,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2015-09-01,1,3,"Yes",642.621366036184,813.760403601722,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,578.899190855566,1864.14192292793,407.760153290028,2035.28096049347,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2015-10-01,1,4,"Yes",699.970183785384,847.328561224477,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,521.550373106366,1921.49074067713,374.191995667273,2068.84911811623,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2015-11-01,1,5,"Yes",779.146493701991,873.402910615569,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,442.374063189759,2000.66705059374,348.117646276181,2094.92346750732,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2015-12-01,1,6,"Yes",818.178925891486,901.342528630625,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,403.341631000264,2039.69948278324,320.178028261125,2122.86308552238,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2016-01-01,1,7,"Yes",841.342528630625,914.357433040145,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,380.178028261125,2062.86308552238,307.163123851605,2135.8779899319,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2016-02-01,1,8,"Yes",885.886032580652,952.44764157903,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,335.634524311098,2107.4065894724,269.07291531272,2173.96819847078,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2016-03-01,1,9,"Yes",903.402910615579,983.760403601712,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,318.117646276171,2124.92346750733,237.760153290038,2205.28096049346,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2016-04-01,1,10,"Yes",944.357433040155,1019.97018378538,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,277.163123851595,2165.87798993191,201.550373106366,2241.49074067713,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2016-05-01,1,11,"Yes",953.207692856825,1022.97515456047,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,268.312864034925,2174.72824974857,198.545402331278,2244.49571145222,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1221.52055689175,1,NA,"M1000",2016-06-01,1,12,"Yes",967.328561224467,1042.34969866589,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,254.191995667283,2188.84911811622,179.170858225859,2263.87025555764,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1205.32458644819,2,1429.99999999998,"M1000",2015-06-01,1,1,"Yes",577.308486846269,744.497751808785,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,628.016099601921,1782.63307329446,460.826834639405,1949.82233825697,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1259.37917076563,3,969.999999999983,"M1000",2015-05-01,1,1,"Yes",577.308486846269,744.497751808785,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,682.070683919361,1836.6876576119,514.881418956845,2003.87692257441,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1259.37917076563,3,1429.99999999998,"M1000",2015-06-01,1,2,"Yes",586.28067823683,787.328561224477,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,673.0984925288,1845.65984900246,472.050609541153,2046.70773199011,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1270.70680597849,4,1139.99999999998,"M1000",2015-04-01,1,1,"Yes",577.308486846269,744.497751808785,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,693.398319132221,1848.01529282476,526.209054169705,2015.20455778728,"Conformal","Conformal",0.961538461538462,1
"M1000","meanf--local--R1","meanf","local","R1",1270.70680597849,4,969.999999999983,"M1000",2015-05-01,1,2,"Yes",586.28067823683,787.328561224477,416.817537814628,637.467413879805,0.961538461538462,1,0.730769230769231,0.980769230769231,684.42612774166,1856.98748421532,483.378244754013,2058.03536720297,"Conformal","Conformal",0.961538461538462,1
