"Combo_ID","Model_ID","Model_Name","Model_Type","Recipe_ID","Forecast","Train_Test_ID","Target","Combo","Date","Hyperparameter_ID","Horizon","Best_Model","lo_80","hi_80","lo_95","hi_95","method_80","method_95","coverage_80","coverage_95"
"M750","meanf--local--R1","meanf","local","R1",10780.7400256374,1,NA,"M750",2015-07-01,1,1,"Yes",10082.3802764396,11479.0997748352,9451.92830665021,12109.5517446246,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10780.7400256374,1,NA,"M750",2015-08-01,1,2,"Yes",10062.2915799406,11499.1884713342,9456.94305579635,12104.5369954785,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10780.7400256374,1,NA,"M750",2015-09-01,1,3,"Yes",10027.6102329202,11533.8698183546,9462.38892262421,12099.0911286506,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10780.7400256374,1,NA,"M750",2015-10-01,1,4,"Yes",10017.5266728655,11543.9533784093,9472.44482700205,12089.0352242728,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10780.7400256374,1,NA,"M750",2015-11-01,1,5,"Yes",9995.92698775344,11565.5530635214,9483.32262914003,12078.1574221348,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10780.7400256374,1,NA,"M750",2015-12-01,1,6,"Yes",9963.69156775407,11597.7884835207,9491.59846044592,12069.8815908289,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10761.7048724476,2,11000,"M750",2015-06-01,1,1,"Yes",10063.3451232498,11460.0646216454,9432.89315346041,12090.5165914348,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10731.5632604911,3,11310,"M750",2015-05-01,1,1,"Yes",10033.2035112933,11429.9230096889,9402.75154150391,12060.3749794783,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10731.5632604911,3,11000,"M750",2015-06-01,1,2,"Yes",10013.1148147943,11450.0117061879,9407.76629065005,12055.3602303322,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10709.6424013778,4,11290,"M750",2015-04-01,1,1,"Yes",10011.28265218,11408.0021505756,9380.83068239061,12038.454120365,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10709.6424013778,4,11310,"M750",2015-05-01,1,2,"Yes",9991.19395568103,11428.0908470746,9385.84543153675,12033.4393712189,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10709.6424013778,4,11000,"M750",2015-06-01,1,3,"Yes",9956.5126086606,11462.772194095,9391.29129836461,12027.993504391,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10681.135363156,5,11250,"M750",2015-03-01,1,1,"Yes",9982.7756139582,11379.4951123538,9352.32364416881,12009.9470821432,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10681.135363156,5,11290,"M750",2015-04-01,1,2,"Yes",9962.68691745923,11399.5838088528,9357.33839331495,12004.9323329971,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10681.135363156,5,11310,"M750",2015-05-01,1,3,"Yes",9928.0055704388,11434.2651558732,9362.78426014281,11999.4864661692,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10681.135363156,5,11000,"M750",2015-06-01,1,4,"Yes",9917.92201038413,11444.3487159279,9372.84016452065,11989.4305617914,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10652.2658639162,6,11010,"M750",2015-02-01,1,1,"Yes",9953.9061147184,11350.625613114,9323.45414492901,11981.0775829034,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10652.2658639162,6,11250,"M750",2015-03-01,1,2,"Yes",9933.81741821943,11370.714309613,9328.46889407515,11976.0628337573,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10652.2658639162,6,11290,"M750",2015-04-01,1,3,"Yes",9899.13607119901,11405.3956566334,9333.91476090301,11970.6169669294,"Conformal","Conformal",0.944444444444444,1
"M750","meanf--local--R1","meanf","local","R1",10652.2658639162,6,11310,"M750",2015-05-01,1,4,"Yes",9889.05251114433,11415.4792166881,9343.97066528085,11960.5610625516,"Conformal","Conformal",0.944444444444444,1
