"Combo","Model_ID","Train_Test_ID","Date","Forecast","Target","Best_Model","Combo_ID","Model_Name","Model_Type","Recipe_ID","Hyperparameter_ID","Horizon","lo_80","hi_80","lo_95","hi_95","method_80","method_95","coverage_80","coverage_95"
"M1","ets--local--R1_glmnet--local--R1",1,2015-07-01,7766.59484401635,NA,"Yes","M1","NA","local","simple_average","NA",1,6111.44675711096,9421.74293092174,5288.80883214653,10244.3808558862,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",1,2015-08-01,7312.90797315676,NA,"Yes","M1","NA","local","simple_average","NA",2,5657.75988625136,8968.05606006215,4835.12196128693,9790.69398502658,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",1,2015-09-01,6139.62858937068,NA,"Yes","M1","NA","local","simple_average","NA",3,4484.48050246529,7794.77667627607,3661.84257750086,8617.4146012405,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",1,2015-10-01,5751.29186269807,NA,"Yes","M1","NA","local","simple_average","NA",4,4096.14377579268,7406.43994960346,3273.50585082825,8229.07787456789,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",1,2015-11-01,5342.78293285997,NA,"Yes","M1","NA","local","simple_average","NA",5,3687.63484595458,6997.93101976537,2864.99692099015,7820.5689447298,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",1,2015-12-01,5039.75626911352,NA,"Yes","M1","NA","local","simple_average","NA",6,3384.60818220812,6694.90435601891,2561.97025724369,7517.54228098334,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",2,2015-06-01,6675.81737229209,6890,"Yes","M1","NA","local","simple_average","NA",1,5020.6692853867,8330.96545919748,4198.03136042227,9153.60338416191,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",3,2015-05-01,5631.7202235924,4910,"Yes","M1","NA","local","simple_average","NA",1,3976.572136687,7286.86831049779,3153.93421172257,8109.50623546222,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",3,2015-06-01,7306.53265160857,6890,"Yes","M1","NA","local","simple_average","NA",2,5651.38456470318,8961.68073851396,4828.74663973875,9784.31866347839,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",4,2015-04-01,4804.74870285278,5210,"Yes","M1","NA","local","simple_average","NA",1,3149.60061594738,6459.89678975817,2326.96269098295,7282.5347147226,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",4,2015-05-01,5342.86453777954,4910,"Yes","M1","NA","local","simple_average","NA",2,3687.71645087415,6998.01262468493,2865.07852590972,7820.65054964936,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",4,2015-06-01,6970.04092162428,6890,"Yes","M1","NA","local","simple_average","NA",3,5314.89283471889,8625.18900852968,4492.25490975446,9447.82693349411,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",5,2015-03-01,5185.30713251874,5090,"Yes","M1","NA","local","simple_average","NA",1,3530.15904561335,6840.45521942413,2707.52112064892,7663.09314438856,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",5,2015-04-01,4834.12028885822,5210,"Yes","M1","NA","local","simple_average","NA",2,3178.97220195283,6489.26837576362,2356.3342769884,7311.90630072805,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",5,2015-05-01,5371.39012150403,4910,"Yes","M1","NA","local","simple_average","NA",3,3716.24203459863,7026.53820840942,2893.6041096342,7849.17613337385,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",5,2015-06-01,7006.74527582802,6890,"Yes","M1","NA","local","simple_average","NA",4,5351.59718892263,8661.89336273341,4528.9592639582,9484.53128769784,"Conformal","Conformal",0.962962962962963,1
"M1","ets--local--R1_glmnet--local--R1",6,2015-02-01,5596.64679495096,5130,"Yes","M1","NA","local","simple_average","NA",1,3941.49870804556,7251.79488185635,3118.86078308113,8074.43280682078,"Conformal","Conformal",0.962962962962963,1
