"Combo","Model_ID","Train_Test_ID","Date","Forecast","Target","Best_Model","Combo_ID","Model_Name","Model_Type","Recipe_ID","Hyperparameter_ID","Horizon","lo_80","hi_80","lo_95","hi_95","method_80","method_95","coverage_80","coverage_95"
"M750","arimax--local--R1_meanf--local--R1",1,2015-07-01,10604.3207053981,NA,"Yes","M750","NA","local","simple_average","NA",1,9854.73718414895,11353.9042266472,9361.63036680006,11847.0110439961,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",1,2015-08-01,10563.5352372675,NA,"Yes","M750","NA","local","simple_average","NA",2,9813.95171601836,11313.1187585166,9320.84489866946,11806.2255758655,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",1,2015-09-01,10607.1265754516,NA,"Yes","M750","NA","local","simple_average","NA",3,9857.54305420245,11356.7100967007,9364.43623685356,11849.8169140496,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",1,2015-10-01,10695.5440163482,NA,"Yes","M750","NA","local","simple_average","NA",4,9945.9604950991,11445.1275375974,9452.85367775021,11938.2343549463,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",1,2015-11-01,10656.3320028734,NA,"Yes","M750","NA","local","simple_average","NA",5,9906.7484816243,11405.9155241226,9413.64166427541,11899.0223414715,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",1,2015-12-01,10695.7461058715,NA,"Yes","M750","NA","local","simple_average","NA",6,9946.16258462231,11445.3296271206,9453.05576727341,11938.4364444695,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",2,2015-06-01,10896.4577294719,11000,"Yes","M750","NA","local","simple_average","NA",1,10146.8742082228,11646.0412507211,9653.76739087391,12139.14806807,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",3,2015-05-01,10943.1993357621,11310,"Yes","M750","NA","local","simple_average","NA",1,10193.6158145129,11692.7828570112,9700.50899716401,12185.8896743601,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",3,2015-06-01,10803.9753009086,11000,"Yes","M750","NA","local","simple_average","NA",2,10054.3917796595,11553.5588221577,9561.28496231056,12046.6656395066,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",4,2015-04-01,11051.5674267912,11290,"Yes","M750","NA","local","simple_average","NA",1,10301.9839055421,11801.1509480403,9808.87708819316,12294.2577653892,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",4,2015-05-01,10984.3152880469,11310,"Yes","M750","NA","local","simple_average","NA",2,10234.7317667978,11733.898809296,9741.62494944886,12227.0056266449,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",4,2015-06-01,10844.3240274227,11000,"Yes","M750","NA","local","simple_average","NA",3,10094.7405061735,11593.9075486718,9601.63368882461,12087.0143660207,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",5,2015-03-01,10928.8916704356,11250,"Yes","M750","NA","local","simple_average","NA",1,10179.3081491864,11678.4751916847,9686.20133183751,12171.5820090336,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",5,2015-04-01,10999.7645758459,11290,"Yes","M750","NA","local","simple_average","NA",2,10250.1810545968,11749.3480970951,9757.07423724791,12242.454914444,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",5,2015-05-01,10932.7877219206,11310,"Yes","M750","NA","local","simple_average","NA",3,10183.2042006715,11682.3712431697,9690.09738332256,12175.4780605186,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",5,2015-06-01,10793.1659314028,11000,"Yes","M750","NA","local","simple_average","NA",4,10043.5824101537,11542.7494526519,9550.47559280476,12035.8562700008,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",6,2015-02-01,10848.1033417909,11010,"Yes","M750","NA","local","simple_average","NA",1,10098.5198205417,11597.68686304,9605.41300319281,12090.7936803889,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",6,2015-03-01,10931.8653792338,11250,"Yes","M750","NA","local","simple_average","NA",2,10182.2818579847,11681.4489004829,9689.17504063576,12174.5557178318,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",6,2015-04-01,11002.937631508,11290,"Yes","M750","NA","local","simple_average","NA",3,10253.3541102589,11752.5211527571,9760.24729290996,12245.627970106,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",6,2015-05-01,10935.9380962564,11310,"Yes","M750","NA","local","simple_average","NA",4,10186.3545750073,11685.5216175055,9693.24775765836,12178.6284348544,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",6,2015-06-01,10795.9230317493,11000,"Yes","M750","NA","local","simple_average","NA",5,10046.3395105002,11545.5065529984,9553.23269315126,12038.6133703473,"Conformal","Conformal",0.898148148148148,0.981481481481482
"M750","arimax--local--R1_meanf--local--R1",7,2015-01-01,11126.8450126043,10980,"Yes","M750","NA","local","simple_average","NA",1,10377.2614913552,11876.4285338535,9884.15467400631,12369.5353512024,"Conformal","Conformal",0.898148148148148,0.981481481481482
